title,subtitle,narrator,runtime,release,language,ratings,price,link
34. The Lost Metal,A Mistborn Novel,Narrated by: Michael Kramer,Length: 18 hrs and 46 mins,Release date: 11-15-22,Language: English,"5 out of 5 stars
6,567 ratings",$22.26,https://www.audible.com/pd/The-Lost-Metal-Audiobook/B09N446YK7?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
35. What Happened to You?,"Conversations on Trauma, Resilience, and Healing","Narrated by: Bruce D. Perry, Oprah Winfrey",Length: 8 hrs and 27 mins,Release date: 04-27-21,Language: English,"5 out of 5 stars
18,770 ratings",$15.49,https://www.audible.com/pd/What-Happened-to-You-Audiobook/1250260639?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
36. Kindred,no subtitle,Narrated by: Kim Staunton,Length: 10 hrs and 55 mins,Release date: 09-12-07,Language: English,"4.5 out of 5 stars
11,500 ratings",$29.37,https://www.audible.com/pd/Kindred-Audiobook/B002V1BKKK?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
"37. Harry Potter and the Prisoner of Azkaban, Book 3",no subtitle,Narrated by: Jim Dale,Length: 11 hrs and 49 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
116,199 ratings",$29.99,https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiobook/B017V4JA2Q?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
38. The Maid,A Novel,Narrated by: Lauren Ambrose,Length: 9 hrs and 37 mins,Release date: 01-04-22,Language: English,"4.5 out of 5 stars
14,851 ratings",$17.92,https://www.audible.com/pd/The-Maid-Audiobook/B09FYKPTW5?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
39. All Good People Here,A Novel,"Narrated by: Brittany Pressley, Karissa Vacker, Ashley Flowers",Length: 10 hrs and 35 mins,Release date: 08-16-22,Language: English,"4.5 out of 5 stars
19,843 ratings",$16.72,https://www.audible.com/pd/All-Good-People-Here-Audiobook/B09QQV2DLL?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
"40. Harry Potter and the Goblet of Fire, Book 4",no subtitle,Narrated by: Jim Dale,Length: 20 hrs and 37 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
111,667 ratings",$44.99,https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Book-4-Audiobook/B017V4NUPO?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
41. Unfu*k Yourself,Get Out of Your Head and into Your Life,Narrated by: Gary John Bishop,Length: 3 hrs and 24 mins,Release date: 08-01-17,Language: English,"4.5 out of 5 stars
81,866 ratings",$14.49,https://www.audible.com/pd/Unfu-k-Yourself-Audiobook/B0731R4RFX?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
42. The Mountain Is You,Transforming Self-Sabotage into Self-Mastery,Narrated by: Stacey Glemboski,Length: 5 hrs and 44 mins,Release date: 04-01-22,Language: English,"5 out of 5 stars
2,450 ratings",$19.95,https://www.audible.com/pd/The-Mountain-Is-You-Audiobook/B09WY6Z8KD?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
"43. Harry Potter and the Order of the Phoenix, Book 5",no subtitle,Narrated by: Jim Dale,Length: 26 hrs and 29 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
103,644 ratings",$44.99,https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Book-5-Audiobook/B017V4NMX4?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
