,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
8,Attacking Soul Esports,ShanXi Gaming Girls,13,2,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20799/attacking-soul-esports-vs-shanxi-gaming-girls-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
9,Attacking Soul Esports,Totoro Gaming,13,10,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20796/attacking-soul-esports-vs-totoro-gaming-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
10,ShanXi Gaming Girls,Invictus Gaming Academy,6,13,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20797/shanxi-gaming-girls-vs-invictus-gaming-academy-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
11,TENSTAR,M4LIK,12,14,6mo ago,Qualifier #1-Grand Finals,VALORANT UK & I Skirmish,/21108/tenstar-vs-m4lik-valorant-uk-i-skirmish-gf,https://owcdn.net/img/60b753653a1c3.png
12,Samurai Esports,Union Gaming,13,3,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21334/samurai-esports-vs-union-gaming-zegg-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
13,Reckoning Esports,VPG Headhunters,13,10,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21333/reckoning-esports-vs-vpg-headhunters-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
14,Global Esports,Gunslingers,13,4,6mo ago,Group Stage-Group D,Rooter Rise of Legends,/21336/global-esports-vs-gunslingers-rooter-rise-of-legends-group-stage-group-d,https://owcdn.net/img/60b8b49c6dc7a.png
15,Rebellious Gaming,Lariox Esports,12,14,6mo ago,Group Stage-Group D,Rooter Rise of Legends,/21337/rebellious-gaming-vs-lariox-esports-rooter-rise-of-legends-group-stage-group-d,https://owcdn.net/img/60b8b49c6dc7a.png
16,MercenarieZ,Godlike Esports,1,13,6mo ago,Group Stage-Group C,Rooter Rise of Legends,/21335/mercenariez-vs-godlike-esports-rooter-rise-of-legends-group-stage-group-c,https://owcdn.net/img/60b8b49c6dc7a.png
17,Velocity Gaming,Xiphos Outplay,13,4,6mo ago,Group Stage-Group A,Rooter Rise of Legends,/21332/velocity-gaming-vs-xiphos-outplay-rooter-rise-of-legends-group-stage-group-a,https://owcdn.net/img/60b8b49c6dc7a.png
