,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
34,Cosmic Divide,Third Impact,2,0,2w 3d ago,Playoffs-Consolation Finals,VCS Midwest Showdown,/57303/cosmic-divide-vs-third-impact-vcs-midwest-showdown-cf,https://owcdn.net/img/5fe98081f34ec.png
35,KRÜ Esports,FURIA,2,1,2w 3d ago,Group Stage-Elimination (B),VALORANT Champions,/51275/kr-esports-vs-furia-valorant-champions-elim-b,https://owcdn.net/img/60865adcb127b.png
36,Team Secret,Crazy Raccoon,2,0,2w 4d ago,Group Stage-Elimination (C),VALORANT Champions,/51280/team-secret-vs-crazy-raccoon-valorant-champions-elim-c,https://owcdn.net/img/60865adcb127b.png
37,Acend,Keyd Stars,2,1,2w 4d ago,Group Stage-Opening (A),VALORANT Champions,/51266/acend-vs-keyd-stars-valorant-champions-opening-a,https://owcdn.net/img/60865adcb127b.png
38,Bleed eSports,shiba n the homies,2,0,2w 4d ago,Singapore-Grandfinals,SEA Esports Championship 2021,/55790/bleed-esports-vs-shiba-n-the-homies-sea-esports-championship-2021-singapore-gf,https://owcdn.net/img/619f1cec6ecc1.png
39,Cosmic Divide,Frag Ya Bag,0,2,2w 4d ago,Playoffs-Semifinals,VCS Midwest Showdown,/57295/cosmic-divide-vs-frag-ya-bag-vcs-midwest-showdown-sf,https://owcdn.net/img/5fe98081f34ec.png
40,Evil Geniuses,Third Impact,2,1,2w 4d ago,Playoffs-Semifinals,VCS Midwest Showdown,/57297/evil-geniuses-vs-third-impact-vcs-midwest-showdown-sf,https://owcdn.net/img/5fe98081f34ec.png
41,Team Liquid,Sentinels,2,1,2w 4d ago,Group Stage-Winner's (B),VALORANT Champions,/51274/team-liquid-vs-sentinels-valorant-champions-winners-b,https://owcdn.net/img/60865adcb127b.png
42,Cosmic Divide,Nightblood Gaming,2,1,2w 4d ago,Playoffs-Quarter Finals,VCS Midwest Showdown,/57276/cosmic-divide-vs-nightblood-gaming-vcs-midwest-showdown-qf,https://owcdn.net/img/5fe98081f34ec.png
43,Frag Ya Bag,Hot Thots,2,0,2w 4d ago,Playoffs-Quarter Finals,VCS Midwest Showdown,/57278/frag-ya-bag-vs-hot-thots-vcs-midwest-showdown-qf,https://owcdn.net/img/5fe98081f34ec.png
44,Evil Geniuses,RIT Orange,2,0,2w 4d ago,Playoffs-Quarter Finals,VCS Midwest Showdown,/57279/evil-geniuses-vs-rit-orange-vcs-midwest-showdown-qf,https://owcdn.net/img/5fe98081f34ec.png
45,samelol,Third Impact,1,2,2w 4d ago,Playoffs-Quarter Finals,VCS Midwest Showdown,/57281/samelol-vs-third-impact-vcs-midwest-showdown-qf,https://owcdn.net/img/5fe98081f34ec.png
46,Gambit Esports,Team Vikings,2,1,2w 5d ago,Group Stage-Winner's (C),VALORANT Champions,/51279/gambit-esports-vs-team-vikings-valorant-champions-winners-c,https://owcdn.net/img/60865adcb127b.png
47,Envy,X10 CRIT,2,0,2w 5d ago,Group Stage-Opening (A),VALORANT Champions,/51267/envy-vs-x10-crit-valorant-champions-opening-a,https://owcdn.net/img/60865adcb127b.png
48,Vision Strikers,Fnatic,1,2,2w 5d ago,Group Stage-Winner's (D),VALORANT Champions,/51284/vision-strikers-vs-fnatic-valorant-champions-winners-d,https://owcdn.net/img/60865adcb127b.png
49,Crimas Disciples,Nerdnecks,3,2,2w 6d ago,Playoffs-Grand Final,AEN Spring Series,/51367/crimas-disciples-vs-nerdnecks-aen-spring-series-gf,https://owcdn.net/img/616d0213e0ee4.png
0,KRÜ Esports,Team Liquid,0,2,2w 6d ago,Group Stage-Opening (B),VALORANT Champions,/51272/kr-esports-vs-team-liquid-valorant-champions-opening-b,https://owcdn.net/img/60865adcb127b.png
1,Sentinels,FURIA,2,1,2w 6d ago,Group Stage-Opening (B),VALORANT Champions,/51273/sentinels-vs-furia-valorant-champions-opening-b,https://owcdn.net/img/60865adcb127b.png
2,Gambit Esports,Team Secret,2,1,3w 0d ago,Group Stage-Opening (C),VALORANT Champions,/51277/gambit-esports-vs-team-secret-valorant-champions-opening-c,https://owcdn.net/img/60865adcb127b.png
3,Fnatic,Cloud9,2,1,3w 0d ago,Group Stage-Opening (D),VALORANT Champions,/51283/fnatic-vs-cloud9-blue-valorant-champions-opening-d,https://owcdn.net/img/60865adcb127b.png
4,Team Vikings,Crazy Raccoon,2,0,3w 0d ago,Group Stage-Opening (C),VALORANT Champions,/51278/team-vikings-vs-crazy-raccoon-valorant-champions-opening-c,https://owcdn.net/img/60865adcb127b.png
5,Vision Strikers,FULL SENSE,2,0,3w 1d ago,Group Stage-Opening (D),VALORANT Champions,/51282/vision-strikers-vs-full-sense-valorant-champions-opening-d,https://owcdn.net/img/60865adcb127b.png
6,XSET,NRG Esports,2,1,3w 1d ago,Playoffs-Grand Final,Nerd Street Gamers Winter Championship: Open 7,/52479/xset-vs-nrg-esports-nerd-street-gamers-winter-championship-open-7-gf,https://owcdn.net/img/61679a1bab823.png
7,XSET,Complexity,2,0,3w 1d ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship: Open 7,/52477/xset-vs-complexity-nerd-street-gamers-winter-championship-open-7-sf,https://owcdn.net/img/61679a1bab823.png
8,NRG Esports,ex-FLICKBAITERS,2,0,3w 1d ago,Playoffs-Semifinals,Nerd Street Gamers Winter Championship: Open 7,/52478/nrg-esports-vs-ex-flickbaiters-nerd-street-gamers-winter-championship-open-7-sf,https://owcdn.net/img/61679a1bab823.png
9,Portuguesa Esports,Stars Horizon,2,3,3w 1d ago,Playoffs-Grand Final,Copa Rakin: Season 3,/51490/portuguesa-vs-stars-horizon-copa-rakin-season-3-gf,https://owcdn.net/img/60baad9718a1c.png
10,XSET,Evil Geniuses,2,1,3w 1d ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship: Open 7,/52473/xset-vs-evil-geniuses-nerd-street-gamers-winter-championship-open-7-qf,https://owcdn.net/img/61679a1bab823.png
11,Complexity,The Mafia,2,0,3w 1d ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship: Open 7,/52474/complexity-vs-the-mafia-nerd-street-gamers-winter-championship-open-7-qf,https://owcdn.net/img/61679a1bab823.png
12,NRG Esports,Renegades,2,0,3w 1d ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship: Open 7,/52475/nrg-esports-vs-renegades-nerd-street-gamers-winter-championship-open-7-qf,https://owcdn.net/img/61679a1bab823.png
13,ex-FLICKBAITERS,Project A,2,1,3w 1d ago,Playoffs-Quarterfinals,Nerd Street Gamers Winter Championship: Open 7,/52476/ex-flickbaiters-vs-project-a-nerd-street-gamers-winter-championship-open-7-qf,https://owcdn.net/img/61679a1bab823.png
14,Tropinha do TIKTOK,Stars Horizon,1,2,3w 1d ago,Playoffs-Lower Final,Copa Rakin: Season 3,/51496/tropinha-do-tiktok-vs-stars-horizon-copa-rakin-season-3-lbf,https://owcdn.net/img/60baad9718a1c.png
15,Fire Flux Esports,Regnum Carya Esports,3,0,3w 2d ago,Playoffs-Grand Final,Open Fire Last Call,/51824/fire-flux-esports-vs-regnum-carya-esports-open-fire-last-call-gf,https://owcdn.net/img/60faced0e30b5.png
16,Paper Rex,Louvre,3,0,3w 2d ago,Main Event-Grand Final,The Esports Club Showdown,/51022/paper-rex-vs-louvre-the-esports-club-showdown-gf,https://owcdn.net/img/6191fb758b6a0.png
17,Team Bliss,HERO Esports,2,1,3w 2d ago,Group Stage-Round 7,LPL Spring Cup Legends 2021,/50292/team-bliss-vs-hero-esports-lpl-spring-cup-legends-2021-r7,https://owcdn.net/img/5f471342b2dff.png
18,XSET,Radiance,2,0,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52465/xset-vs-radiance-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
19,Evil Geniuses,DarkZero Esports,2, 1,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52466/evil-geniuses-vs-darkzero-esports-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
20,Complexity,Knights Academy,2,1,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52467/complexity-vs-knights-academy-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
21,Cosmic Divide,The Mafia,0,2,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52468/cosmic-divide-vs-the-mafia-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
22,NRG Esports,SoaR,2,1,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52469/nrg-esports-vs-soar-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
23,Renegades,Pho Real,2,0,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52470/renegades-vs-pho-real-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
24,The Guard,ex-FLICKBAITERS,0,2,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52471/the-guard-vs-ex-flickbaiters-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
25,Project A,Nemesis,2,1,3w 2d ago,Playoffs-Round of 16,Nerd Street Gamers Winter Championship: Open 7,/52472/project-a-vs-nemesis-nerd-street-gamers-winter-championship-open-7-ro16,https://owcdn.net/img/61679a1bab823.png
26,Team Reckaroo,Cloud9 White,13, 1,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52721/team-reckaroo-vs-cloud9-white-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
27,The Mafia,Evil Geniuses,13,11,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52722/the-mafia-vs-evil-geniuses-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
28,Elmerz Glue,NRG Esports,9,13,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52712/elmerz-glue-vs-nrg-esports-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
29,Knights Academy,Cosmic Divide,5,13,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52714/knights-academy-vs-cosmic-divide-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
30,Complexity,Kowareta,13,4,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52715/complexity-vs-kowareta-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
31,The Guard,SoaR,13,6,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52718/the-guard-vs-soar-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
32,Renegades,Zero MarksMen Black,13,10,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52720/renegades-vs-zero-marksmen-black-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
33,Cloud9 Academy,XSET,7,13,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52710/cloud9-academy-vs-xset-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
34,CLG Red,ex-Serenity Black,8,13,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52723/clg-red-vs-ex-serenity-black-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
35,DarkZero Esports,Project A, 7,13,3w 2d ago,Group Stage-Round 3,Nerd Street Gamers Winter Championship: Open 7,/52724/darkzero-esports-vs-project-a-nerd-street-gamers-winter-championship-open-7-r3,https://owcdn.net/img/61679a1bab823.png
36,Complexity,Team Basilisk,13,8,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52699/complexity-vs-team-basilisk-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
37,Evil Geniuses,Cloud9 White,13, 8,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52706/evil-geniuses-vs-cloud9-white-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
38,NRG Esports,Eclectiq,13,2,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52696/nrg-esports-vs-eclectiq-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
39,Elysium,Knights Academy,8,13,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52697/elysium-vs-knights-academy-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
40,Crime,Cloud9 Academy,5,13,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52693/crimewave-vs-cloud9-academy-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
41,XSET,ex-FLICKBAITERS,13,3,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52694/xset-vs-ex-flickbaiters-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
42,Border Monsters,The Guard,6,13,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52701/border-monsters-vs-the-guard-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
43,SoaR,IlluZion,13,9,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52702/soar-vs-illuzion-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
44,Radiance,Renegades,11,13,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52703/radiance-vs-renegades-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
45,CLG Red,DarkZero Esports,4, 13,3w 2d ago,Group Stage-Round 2,Nerd Street Gamers Winter Championship: Open 7,/52707/clg-red-vs-darkzero-esports-nerd-street-gamers-winter-championship-open-7-r2,https://owcdn.net/img/61679a1bab823.png
46,Crime,XSET,4,25,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52677/crimewave-vs-xset-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
47,ex-FLICKBAITERS,Cloud9 Academy,13,10,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52678/ex-flickbaiters-vs-cloud9-academy-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
48,Nemesis,NRG Esports,5,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52679/nemesis-vs-nrg-esports-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
49,Elysium,Cosmic Divide,9,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52681/elysium-vs-cosmic-divide-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
0,Third Impact,Knights Academy,6,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52682/third-impact-vs-knights-academy-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
1,Complexity,Pho Real,15,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52683/complexity-vs-pho-real-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
2,Border Monsters,SoaR,11,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52685/border-monsters-vs-soar-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
3,IlluZion,The Guard,7,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52686/illuzion-vs-the-guard-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
4,Radiance,Zero MarksMen Black,6,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52687/radiance-vs-zero-marksmen-black-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
5,Illumina Blue,Renegades,9,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52688/illumina-blue-vs-renegades-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
6,Team Reckaroo,Evil Geniuses,11,13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52689/team-reckaroo-vs-evil-geniuses-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
7,Cloud9 White,The Mafia, 13,8,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52690/cloud9-white-vs-the-mafia-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
8,ex-Serenity Black,DarkZero Esports,6, 13,3w 2d ago,Group Stage-Round 1,Nerd Street Gamers Winter Championship: Open 7,/52692/ex-serenity-black-vs-darkzero-esports-nerd-street-gamers-winter-championship-open-7-r1,https://owcdn.net/img/61679a1bab823.png
9,Futbolist,Regnum Carya Esports,2,3,3w 3d ago,Playoffs-Lower Final,Open Fire Last Call,/51830/futbolist-vs-regnum-carya-esports-open-fire-last-call-lbf,https://owcdn.net/img/60faced0e30b5.png
10,Alter Ego,Louvre,0,2,3w 3d ago,Main Event-Lower Bracket Final,The Esports Club Showdown,/51021/alter-ego-vs-louvre-the-esports-club-showdown-lbf,https://owcdn.net/img/6191fb758b6a0.png
11,Legacy Esports,Crimas Disciples,2,1,3w 3d ago,Group Stage-Round 7,LPL Spring Cup Legends 2021,/50291/legacy-esports-vs-crimas-disciples-lpl-spring-cup-legends-2021-r7,https://owcdn.net/img/5f471342b2dff.png
12,VERTEX,Kraken ESC White,2,0,3w 3d ago,Group Stage-Round 7,LPL Spring Cup Legends 2021,/50290/vertex-vs-kraken-esc-white-lpl-spring-cup-legends-2021-r7,https://owcdn.net/img/5f471342b2dff.png
13,Tropinha do TIKTOK,Portuguesa Esports,0,2,3w 3d ago,Playoffs-Upper Final,Copa Rakin: Season 3,/51489/tropinha-do-tiktok-vs-portuguesa-copa-rakin-season-3-ubf,https://owcdn.net/img/60baad9718a1c.png
14,NOORG2.0,Stars Horizon,0,2,3w 3d ago,Playoffs-Lower Round 3,Copa Rakin: Season 3,/51495/noorg2-0-vs-stars-horizon-copa-rakin-season-3-lr3,https://owcdn.net/img/60baad9718a1c.png
15,Futbolist,Fire Flux Esports,1,2,3w 3d ago,Playoffs-Upper Final,Open Fire Last Call,/51823/futbolist-vs-fire-flux-esports-open-fire-last-call-ubf,https://owcdn.net/img/60faced0e30b5.png
16,GMT Esports,Rebels Gaming,3,2,3w 4d ago,Playoffs-Grand Final,Circuito De Elite - Finals,/50494/gmt-esports-vs-rebels-gaming-circuito-de-elite-finals-gf,https://owcdn.net/img/60bb8e107aca9.png
17,Regnum Carya Esports,Thunderbolts Gaming,2,0,3w 4d ago,Playoffs-Lower Round 3,Open Fire Last Call,/51829/regnum-carya-esports-vs-thunderbolts-gaming-open-fire-last-call-lr3,https://owcdn.net/img/60faced0e30b5.png
18,Global Esports,Velocity Gaming,3,1,3w 4d ago,Grand Final-Grand Finals,WD Black Cup - Season 2,/52403/global-esports-vs-velocity-gaming-wd-black-cup-season-2-grand-final-gf,https://owcdn.net/img/619b487358c12.png
19,Renegades,Soniqs,2,1,3w 4d ago,Playoffs-Grand Final,Rival 1,/51720/renegades-vs-soniqs-rival-1-gf,https://owcdn.net/img/619ad2f907214.png
20,Renegades,The Mafia,2,0,3w 4d ago,Playoffs-Semifinals,Rival 1,/51718/renegades-vs-the-mafia-rival-1-sf,https://owcdn.net/img/619ad2f907214.png
21,Evil Geniuses,Soniqs,0,2,3w 4d ago,Playoffs-Semifinals,Rival 1,/51719/evil-geniuses-vs-soniqs-rival-1-sf,https://owcdn.net/img/619ad2f907214.png
22,Renegades,Cosmic Divide,2,1,3w 4d ago,Playoffs-Quarterfinals,Rival 1,/51714/renegades-vs-cosmic-divide-rival-1-qf,https://owcdn.net/img/619ad2f907214.png
23,The Mafia,Betrayed's Fantasy Team,2,1,3w 4d ago,Playoffs-Quarterfinals,Rival 1,/51715/the-mafia-vs-betrayeds-fantasy-team-rival-1-qf,https://owcdn.net/img/619ad2f907214.png
24,Evil Geniuses,ex-Serenity Black,2,1,3w 4d ago,Playoffs-Quarterfinals,Rival 1,/51716/evil-geniuses-vs-ex-serenity-black-rival-1-qf,https://owcdn.net/img/619ad2f907214.png
25,Soniqs,Teal Seam,2,0,3w 4d ago,Playoffs-Quarterfinals,Rival 1,/51717/soniqs-vs-teal-seam-rival-1-qf,https://owcdn.net/img/619ad2f907214.png
26,ehehxd,Rebels Gaming,1,2,3w 4d ago,Playoffs-Semifinals,Circuito De Elite - Finals,/50493/ehehxd-vs-rebels-gaming-circuito-de-elite-finals-sf,https://owcdn.net/img/60bb8e107aca9.png
27,BIG,CGN Esports,2,1,3w 4d ago,Playoffs-Grand Final,Kingdom Calling #5,/52408/big-vs-cgn-esports-kingdom-calling-5-playoffs-gf,https://owcdn.net/img/609016936f908.png
28,Thunderbolts Gaming,Kafalar eSports,2,0,3w 4d ago,Playoffs-Lower Round 2,Open Fire Last Call,/51828/thunderbolts-gaming-vs-kafalar-esports-open-fire-last-call-lr2,https://owcdn.net/img/60faced0e30b5.png
29,Alliance,Team Vitality,1,3,3w 4d ago,Main Event-Grand Final,VALORANT Open Tour France: Main Event,/51083/alliance-vs-team-vitality-valorant-open-tour-france-main-event-gf,https://owcdn.net/img/60918cde5ed00.png
30,SAW,KPI Gaming,1,2,3w 4d ago,Playoffs-Grand Final,GameGune 24,/51568/saw-vs-kpi-gaming-gamegune-24-gf,https://owcdn.net/img/61992f2130d5f.png
31,SENTHEX,Ovation eSports,0,2,3w 4d ago,Playoffs-Bronze Final,Kingdom Calling #5,/52407/senthex-vs-ovation-esports-kingdom-calling-5-playoffs-bf,https://owcdn.net/img/609016936f908.png
32,GMT Esports,One Breath Gaming,2,1,3w 5d ago,Playoffs-Semifinals,Circuito De Elite - Finals,/50492/gmt-esports-vs-one-breath-gaming-circuito-de-elite-finals-sf,https://owcdn.net/img/60bb8e107aca9.png
33,Regnum Carya Esports,Galakticos,2,0,3w 5d ago,Playoffs-Lower Round 2,Open Fire Last Call,/51827/regnum-carya-esports-vs-galakticos-open-fire-last-call-lr2,https://owcdn.net/img/60faced0e30b5.png
34,19esports,KPI Gaming,0,2,3w 5d ago,Playoffs-Semifinals,GameGune 24,/51567/19esports-vs-kpi-gaming-gamegune-24-sf,https://owcdn.net/img/61992f2130d5f.png
35,Einheit,SAW,0,2,3w 5d ago,Playoffs-Semifinals,GameGune 24,/51566/einheit-vs-saw-gamegune-24-sf,https://owcdn.net/img/61992f2130d5f.png
36,Velocity Gaming,Enigma Gaming,2,0,3w 5d ago,Playoffs-Grand Final,WD Black Cup - Season 2,/51547/velocity-gaming-vs-enigma-gaming-wd-black-cup-season-2-gf,https://owcdn.net/img/619b487358c12.png
37,Renegades,Third Impact,2,0,3w 5d ago,Playoffs-Round of 16,Rival 1,/51706/renegades-vs-third-impact-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
38,Cosmic Divide,Nemesis,2,0,3w 5d ago,Playoffs-Round of 16,Rival 1,/51707/cosmic-divide-vs-nemesis-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
39,The Mafia,Resonate,2,1,3w 5d ago,Playoffs-Round of 16,Rival 1,/51708/the-mafia-vs-resonate-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
40,Betrayed's Fantasy Team,Bait Academy,2,0,3w 5d ago,Playoffs-Round of 16,Rival 1,/51709/betrayeds-fantasy-team-vs-bait-academy-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
41,Evil Geniuses,Actually Homeless,2,0,3w 5d ago,Playoffs-Round of 16,Rival 1,/51710/evil-geniuses-vs-actually-homeless-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
42,Lenny Time,ex-Serenity Black,0,2,3w 5d ago,Playoffs-Round of 16,Rival 1,/51711/lenny-time-vs-ex-serenity-black-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
43,Soniqs,FLICKBAITERS,2,1,3w 5d ago,Playoffs-Round of 16,Rival 1,/51712/soniqs-vs-flickbaiters-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
44,Teal Seam,Zero MarksMen Black,2,0,3w 5d ago,Playoffs-Round of 16,Rival 1,/51713/teal-seam-vs-zero-marksmen-black-rival-1-ro16,https://owcdn.net/img/619ad2f907214.png
45,Evil Geniuses,Shopify Rebellion,13,3,3w 5d ago,Group Stage-Round 3,Rival 1,/51755/evil-geniuses-vs-shopify-rebellion-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
46,Dignitas,Renegades, 0,13,3w 5d ago,Group Stage-Round 3,Rival 1,/51760/dignitas-vs-renegades-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
47,Soniqs,Pho Real,13,6,3w 5d ago,Group Stage-Round 3,Rival 1,/51761/soniqs-vs-pho-real-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
48,Knights Academy,Third Impact,13,10,3w 5d ago,Group Stage-Round 3,Rival 1,/51762/knights-academy-vs-third-impact-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
49,Aspire,Betrayed's Fantasy Team,7,13,3w 5d ago,Group Stage-Round 3,Rival 1,/51764/aspire-vs-betrayeds-fantasy-team-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
0,The Mafia,Rock Bottom,13,5,3w 5d ago,Group Stage-Round 3,Rival 1,/51765/the-mafia-vs-rock-bottom-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
1,Fenrir,Teal Seam,7,13,3w 5d ago,Group Stage-Round 3,Rival 1,/51768/fenrir-vs-teal-seam-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
2,TSM Academy,Nemesis,11,13,3w 5d ago,Group Stage-Round 3,Rival 1,/51757/tsm-academy-vs-nemesis-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
3,Resonate,The Guard,11,13,3w 5d ago,Group Stage-Round 3,Rival 1,/51769/resonate-vs-the-guard-rival-1-r3,https://owcdn.net/img/619ad2f907214.png
4,Evil Geniuses,Proximity,13,4,3w 5d ago,Group Stage-Round 2,Rival 1,/51739/evil-geniuses-vs-proximity-rival-1-r2,https://owcdn.net/img/619ad2f907214.png
5,TSM Academy,Echo Alternative,13,4,3w 5d ago,Group Stage-Round 2,Rival 1,/51741/tsm-academy-vs-echo-alternative-rival-1-r2,https://owcdn.net/img/619ad2f907214.png
6,Renegades,SUPER SQUAD,13,8,3w 5d ago,Group Stage-Round 2,Rival 1,/51744/renegades-vs-super-squad-rival-1-r2,https://owcdn.net/img/619ad2f907214.png
7,Soniqs,Third Impact,13,11,3w 5d ago,Group Stage-Round 2,Rival 1,/51745/soniqs-vs-third-impact-rival-1-r2,https://owcdn.net/img/619ad2f907214.png
